,tweet_id,retweet_count,favourite_count
0,892420643555336193,7012,33832
1,892177421306343426,5302,29347
2,891815181378084864,3483,22069
3,891689557279858688,7229,36959
4,891327558926688256,7768,35332
5,891087950875897856,2602,17820
6,890971913173991426,1667,10372
7,890729181411237888,15766,56898
8,890609185150312448,3625,24540
9,890240255349198849,6103,27980
10,890006608113172480,6154,27056
11,889880896479866881,4168,24581
12,889665388333682689,8353,42079
13,889638837579907072,3719,23695
14,889531135344209921,1884,13358
15,889278841981685760,4448,22136
16,888917238123831296,3766,25654
17,888804989199671297,3539,22487
18,888554962724278272,2879,17327
19,888078434458587136,2897,19161
20,887705289381826560,4538,26642
21,887517139158093824,9857,40749
22,887473957103951883,15036,60225
23,887343217045368832,8815,29609
24,887101392804085760,4994,26996
25,886983233522544640,6322,30404
26,886736880519319552,2633,10504
27,886680336477933568,3738,19750
28,886366144734445568,2631,18557
29,886267009285017600,4,105
30,886258384151887873,5293,24543
31,886054160059072513,93,0
32,885984800019947520,5618,28625
33,885528943205470208,5332,31617
34,885518971528720385,3108,18021
35,885311592912609280,15448,0
36,885167619883638784,3671,19271
37,884925521741709313,15035,67324
38,884876753390489601,4675,24399
39,884562892145688576,3913,21339
40,884441805382717440,4793,23872
41,884247878851493888,16932,63357
42,884162670584377345,2506,17952
43,883838122936631299,2865,19189
44,883482846933004288,8276,40230
45,883360690899218434,3084,19961
46,883117836046086144,5540,32529
47,882992080364220416,3248,20997
48,882762694511734784,4099,24814
49,882627270321602560,5067,24614
50,882268110199369728,9639,39221
51,882045870035918850,4084,25746
52,881906580714921986,2856,21454
53,881666595344535552,8965,44581
54,881633300179243008,8,113
55,881536004380872706,13406,43476
56,881268444196462592,4495,20497
57,880935762899988482,2333,15062
58,880872448815771648,3200,18722
59,880465832366813184,5217,25039
60,880221127280381952,3468,23682
61,880095782870896641,3655,24350
62,879862464715927552,2930,19720
63,879674319642796034,9,282
64,879492040517615616,2628,20717
65,879415818425184262,37469,92927
66,879376492567855104,2651,14870
67,879130579576475649,5746,0
68,879050749262655488,3958,19821
69,879008229531029506,2244,16793
70,878776093423087618,3437,17146
71,878604707211726852,5932,26448
72,878404777348136964,1078,0
73,878316110768087041,5531,0
74,878281511006478336,1078,6783
75,878057613040115712,5746,37167
76,877736472329191424,15820,69346
77,877611172832227328,70,0
78,877556246731214848,3171,19913
79,877316821321428993,4348,24167
80,877201837425926144,4630,23881
81,876838120628539392,2806,18227
82,876537666061221889,3975,21057
83,876484053909872640,2003,16577
84,876120275196170240,3905,24702
85,875747767867523072,3584,22128
86,875144289856114688,4159,19426
87,875097192612077568,5119,24257
88,875021211251597312,3974,22565
89,874680097055178752,3920,24617
90,874434818259525634,12221,0
91,874296783580663808,3483,22980
92,874057562936811520,3379,20129
93,874012996292530176,8599,30140
94,873580283840344065,3344,21392
95,873337748698140672,1332,0
96,873213775632977920,1332,6325
97,872967104147763200,4565,24093
98,872820683541237760,3168,13081
99,872620804844003328,3068,18333
100,872486979161796608,7722,36119
101,872122724285648897,6833,30245
102,871879754684805121,9254,33131
103,871762521631449091,2971,17903
104,871515927908634625,2943,17898
105,871166179821445120,4895,0
106,871102520638267392,4686,18561
107,871032628920680449,3227,20170
108,870804317367881728,5286,29822
109,870726314365509632,3,105
110,870656317836468226,2211,10901
111,870374049280663552,22764,73999
112,870308999962521604,3551,19494
113,870063196459192321,7081,32437
114,869772420881756160,8701,38020
115,869702957897576449,5388,25084
116,869596645499047938,2640,14222
117,869227993411051520,3201,18138
118,868880397819494401,12268,58027
119,868639477480148993,1754,0
120,868622495443632128,4476,23656
121,868552278524837888,1754,8974
122,867900495410671616,3576,21619
123,867774946302451713,6258,30290
124,867421006826221569,2118,14359
125,867072653475098625,101,0
126,867051520902168576,6792,28733
127,866720684873056260,4133,17885
128,866686824827068416,2973,17144
129,866450705531457537,30229,108972
130,866334964761202691,12221,46656
131,866094527597207552,7175,0
132,865718153858494464,4855,22950
133,865359393868664832,4295,23628
134,865006731092295680,6680,25059
135,864873206498414592,7498,28884
136,864279568663928832,2585,13081
137,864197398364647424,7596,26660
138,863907417377173506,3594,18459
139,863553081350529029,3637,13692
140,863471782782697472,2092,0
141,863432100342583297,4561,21329
142,863427515083354112,80,1962
143,863079547188785154,953,7911
144,863062471531167744,2092,7531
145,862831371563274240,4461,17228
146,862722525377298433,3091,15349
147,862457590147678208,4260,18293
148,862096992088072192,20021,66364
149,861383897657036800,9275,32319
150,861288531465048066,3596,15364
151,861005113778896900,3342,15003
152,860981674716409858,1858,0
153,860924035999428608,679,0
154,860563773140209665,1858,6732
155,860524505164394496,4610,21279
156,860276583193509888,3076,16600
157,860184849394610176,5129,15030
158,860177593139703809,26781,0
159,859924526012018688,3587,17657
160,859851578198683649,3073,13987
161,859607811541651456,1366,16849
162,859196978902773760,26307,80631
163,859074603037188101,11982,30466
164,858860390427611136,7092,0
165,858843525470990336,3029,14138
166,858471635011153920,4268,19511
167,858107933456039936,2540,14254
168,857989990357356544,2270,14505
169,857746408056729600,9360,30845
170,857393404942143489,1444,5315
171,857263160327368704,3986,18271
172,857214891891077121,16,204
173,857062103051644929,148,0
174,857029823797047296,3494,17067
175,856543823941562368,2551,14851
176,856526610513747968,1655,10836
177,856288084350160898,15,488
178,856282028240666624,5586,25268
179,855862651834028034,21,303
180,855860136149123072,853,4414
181,855857698524602368,1864,10870
182,855851453814013952,16147,41935
183,855818117272018944,4821,24303
184,855459453768019968,7315,27136
185,855245323840757760,5276,0
186,855138241867124737,36,0
187,854732716440526848,5363,20714
188,854482394044301312,6036,26622
189,854365224396361728,4160,17224
190,854120357044912130,6602,29272
191,854010172552949760,2797,14848
192,853760880890318849,5118,26120
193,853639147608842240,8894,31600
194,853299958564483072,3174,14187
195,852936405516943360,1790,0
196,852912242202992640,1602,8267
197,852672615818899456,1916,13663
198,852553447878664193,3125,14920
199,852311364735569921,8892,30397
200,852226086759018497,6104,18374
201,852189679701164033,1420,10580
202,851591660324737024,3129,14981
203,851464819735769094,6324,22297
204,851224888060895234,5180,19078
205,850753642995093505,8098,28192
206,850380195714523136,2335,12098
207,850333567704068097,301,3196
208,850145622816686080,3402,15072
209,850019790995546112,4383,18809
210,849776966551130114,6835,27957
211,849668094696017920,4455,0
212,849412302885593088,2836,14694
213,849336543269576704,1695,10576
214,849051919805034497,7645,39075
215,848690551926992896,3933,23310
216,848324959059550208,4168,22871
217,848213670039564288,646,7547
218,848212111729840128,2721,15057
219,847978865427394560,2929,0
220,847971574464610304,396,0
221,847962785489326080,4588,21766
222,847842811428974592,1193,5022
223,847617282490613760,376,6476
224,847606175596138505,3097,17379
225,847251039262605312,3925,19007
226,847157206088847362,5265,18408
227,847116187444137987,2882,19901
228,846874817362120707,3556,18658
229,846514051647705089,10411,41289
230,846505985330044928,2766,13096
231,846153765933735936,8192,29153
232,846139713627017216,9182,28864
233,846042936437604353,2595,14845
234,845812042753855489,7886,27083
235,845677943972139009,4390,23483
236,845397057150107648,1622,7100
237,845306882940190720,4872,21665
238,845098359547420673,6955,0
239,844979544864018432,2318,12700
240,844973813909606400,2863,13958
241,844580511645339650,2823,15312
242,844223788422217728,1994,12724
243,843981021012017153,2704,14155
244,843856843873095681,4177,20001
245,843604394117681152,2486,15742
246,843235543001513987,5431,20010
247,842846295480000512,3319,14243
248,842765311967449089,1177,6306
249,842535590457499648,3191,16954
250,842163532590374912,5276,22781
251,842115215311396866,2764,13062
252,841833993020538882,13609,0
253,841680585030541313,7174,24078
254,841439858740625411,3341,11763
255,841320156043304961,5031,18451
256,841314665196081154,4247,14778
257,841077006473256960,4895,21379
258,840761248237133825,1622,0
259,840728873075638272,14628,0
260,840698636975636481,2,165
261,840696689258311684,892,11506
262,840632337062862849,1622,8443
263,840370681858686976,4188,15364
264,840268004936019968,5235,17942
265,839990271299457024,2075,12561
266,839549326359670784,7092,25637
267,839290600511926273,133,0
268,839239871831150596,5958,25281
269,838952994649550848,3668,18411
270,838921590096166913,1859,10441
271,838916489579200512,31,0
272,838831947270979586,10061,0
273,838561493054533637,1234,10268
274,838476387338051585,4356,21021
275,838201503651401729,9229,0
276,838150277551247360,304,1571
277,838085839343206401,1,133
278,838083903487373313,2851,16502
279,837820167694528512,7175,31896
280,837482249356513284,409,3617
281,837471256429613056,2065,12005
282,837110210464448512,2186,15078
283,836989968035819520,2122,11980
284,836753516572119041,4272,18169
285,836677758902222849,2028,11866
286,836648853927522308,509,0
287,836397794269200385,25150,0
288,836380477523124226,2750,13928
289,836260088725786625,3989,19997
290,836001077879255040,3903,17938
291,835685285446955009,7443,0
292,835574547218894849,3308,16693
293,835536468978302976,1548,0
294,835309094223372289,19218,0
295,835297930240217089,2748,15464
296,835264098648616962,1548,7251
297,835246439529840640,63,1991
298,835172783151792128,5311,24623
299,835152434251116546,2765,20990
300,834931633769889797,1496,10127
301,834786237630337024,5119,20260
302,834574053763584002,2320,12838
303,834477809192075265,9796,0
304,834458053273591808,1553,9049
305,834209720923721728,4342,19295
306,834167344700198914,3372,14865
307,834089966724603904,1970,9466
308,834086379323871233,2045,12269
309,833863086058651648,2216,12650
310,833826103416520705,3495,17104
311,833732339549220864,205,0
312,833722901757046785,3006,19725
313,833479644947025920,1896,14040
314,833124694597443584,4455,19024
315,832998151111966721,2026,12461
316,832769181346996225,38,0
317,832757312314028032,3329,15873
318,832682457690300417,2670,11166
319,832645525019123713,485,2745
320,832636094638288896,2570,14941
321,832397543355072512,2040,11264
322,832369877331693569,2929,16112
323,832273440279240704,2150,10669
324,832215909146226688,5739,0
325,832215726631055365,8603,0
326,832088576586297345,2,59
327,832040443403784192,8845,0
328,832032802820481025,4309,16799
329,831939777352105988,5669,22507
330,831926988323639298,34,319
331,831911600680497154,5994,25892
332,831670449226514432,1690,9812
333,831650051525054464,1790,6697
334,831552930092285952,2165,8473
335,831322785565769729,1447,8764
336,831315979191906304,1040,6183
337,831309418084069378,2274,11111
338,831262627380748289,1895,11191
339,830956169170665475,1379,7527
340,830583320585068544,15448,62559
341,830173239259324417,5255,0
342,830097400375152640,2707,9184
343,829878982036299777,4618,0
344,829861396166877184,1797,11547
345,829501995190984704,9796,29937
346,829449946868879360,1864,9897
347,829141528400556032,6787,22924
348,829011960981237760,15141,50345
349,828801551087042563,3169,0
350,828770345708580865,5408,24140
351,828708714936930305,10353,34315
352,828650029636317184,1244,8971
353,828409743546925057,1082,6052
354,828408677031882754,1189,7263
355,828381636999917570,2065,11890
356,828376505180889089,996,6991
357,828372645993398273,2730,11883
358,828361771580813312,165,2073
359,828046555563323392,2660,11070
360,828011680017821696,2000,9787
361,827933404142436356,4844,18882
362,827653905312006145,2798,14612
363,827600520311402496,865,7065
364,827324948884643840,2812,14968
365,827199976799354881,2064,10013
366,826958653328592898,4618,20345
367,826848821049180160,9357,34084
368,826615380357632002,3687,0
369,826598799820865537,230,4867
370,826598365270007810,2183,9460
371,826476773533745153,3896,17396
372,826240494070030336,2424,12543
373,826204788643753985,856,4602
374,826115272272650244,2875,14755
375,825876512159186944,1738,9931
376,825829644528148480,2338,12034
377,825535076884762624,16368,54018
378,825147591692263424,4191,17278
379,825120256414846976,1168,0
380,825026590719483904,1168,5914
381,824796380199809024,5108,0
382,824775126675836928,3278,14074
383,824663926340194305,1649,9947
384,824325613288833024,9899,11193
385,824297048279236611,3572,14239
386,824025158776213504,558,4582
387,823939628516474880,2541,10065
388,823719002937630720,10373,0
389,823699002998870016,2336,13223
390,823581115634085888,2448,12281
391,823333489516937216,22,662
392,823322678127919110,3720,14841
393,823269594223824897,9242,0
394,822975315408461824,3200,16385
395,822872901745569793,39954,124182
396,822859134160621569,2111,12468
397,822647212903690241,5959,0
398,822610361945911296,2736,13986
399,822489057087389700,5959,17135
400,822462944365645825,13164,26332
401,822244816520155136,9242,33136
402,822163064745328640,4385,0
403,821886076407029760,2144,10686
404,821813639212650496,3127,0
405,821765923262631936,1557,7912
406,821522889702862852,1633,7576
407,821421320206483457,5131,0
408,821407182352777218,3996,11111
409,821153421864615936,9,236
410,821149554670182400,1826,8116
411,821107785811234820,1976,9080
412,821044531881721856,2127,11970
413,820837357901512704,6247,0
414,820749716845686786,9229,29863
415,820690176645140481,3004,11595
416,820494788566847489,523,0
417,820446719150292993,2398,0
418,820314633777061888,523,3163
419,820078625395449857,5798,18671
420,820013781606658049,1082,0
421,819952236453363712,1082,5019
422,819924195358416896,4551,12245
423,819711362133872643,2878,12631
424,819588359383371776,1870,9166
425,819347104292290561,1117,6850
426,819238181065359361,379,2141
427,819227688460238848,6247,21810
428,819015337530290176,34568,0
429,819015331746349057,17810,0
430,819006400881917954,17811,43064
431,819004803107983360,34568,82742
432,818646164899774465,19467,0
433,818627210458333184,7064,21246
434,818614493328580609,2356,9310
435,818588835076603904,5702,0
436,818536468981415936,2274,10282
437,818307523543449600,7470,0
438,818259473185828864,2090,10428
439,818145370475810820,2371,11624
440,817908911860748288,741,4611
441,817827839487737858,25150,48682
442,817777686764523521,2522,10233
443,817536400337801217,2732,11134
444,817502432452313088,3146,0
445,817423860136083457,13609,31894
446,817415592588222464,890,5301
447,817181837579653120,7876,0
448,817171292965273600,1871,8317
449,817120970343411712,2415,11554
450,817056546584727552,1519,8146
451,816829038950027264,4396,0
452,816816676327063552,1898,9488
453,816697700272001025,2059,9251
454,816091915477250048,1992,8487
455,816062466425819140,944,0
456,816014286006976512,4889,0
457,815990720817401858,944,4693
458,815966073409433600,7876,21152
459,815745968457060357,3863,0
460,815736392542261248,2123,9313
461,815639385530101762,1556,7829
462,815390420867969024,3574,9833
463,814986499976527872,1187,7259
464,814638523311648768,2527,10699
465,814578408554463233,5465,0
466,814530161257443328,1742,8222
467,814153002265309185,8116,27283
468,813944609378369540,2960,0
469,813910438903693312,1735,8860
470,813812741911748608,13044,34660
471,813800681631023104,1650,7886
472,813217897535406080,6852,17705
473,813202720496779264,1706,8774
474,813187593374461952,4048,18850
475,813172488309972993,1809,8816
476,813157409116065792,2066,7387
477,813142292504645637,2245,8091
478,813130366689148928,418,4265
479,813127251579564032,2924,11220
480,813112105746448384,2571,9800
481,813096984823349248,3391,10046
482,813081950185472002,2598,9426
483,813066809284972545,1830,7547
484,813051746834595840,6866,19931
485,812781120811126785,1787,7160
486,812709060537683968,1354,6296
487,812503143955202048,1148,5746
488,812466873996607488,1802,7576
489,812372279581671427,3428,12947
490,811985624773361665,1312,6922
491,811744202451197953,1479,7163
492,811647686436880384,682,5322
493,811627233043480576,2856,12086
494,811386762094317568,5990,19890
495,810984652412424192,1335,5061
496,810896069567610880,1646,8552
497,810657578271330305,2471,10435
498,810284430598270976,10504,33349
499,810254108431155201,3169,13989
500,809920764300447744,3687,14795
501,809808892968534016,4584,0
502,809448704142938112,1371,6611
503,809220051211603969,5255,18909
504,809084759137812480,3307,12577
505,808838249661788160,2868,9648
506,808733504066486276,2034,7514
507,808501579447930884,2456,10766
508,808344865868283904,19467,40252
509,808134635716833280,5527,0
510,808106460588765185,2071,8396
511,808001312164028416,3318,11864
512,807621403335917568,3394,13871
513,807106840509214720,51725,111759
514,807059379405148160,6900,0
515,807010152071229440,3638,12488
516,806629075125202948,32419,70690
517,806620845233815552,5150,0
518,806576416489959424,1827,4664
519,806542213899489280,2219,9746
520,806242860592926720,10897,0
521,806219024703037440,1134,6142
522,805826884734976000,1717,6247
523,805823200554876929,7487,0
524,805520635690676224,1552,5489
525,805487436403003392,2382,8359
526,805207613751304193,1629,7488
527,804738756058218496,3604,13003
528,804475857670639616,1893,5850
529,804413760345620481,3014,0
530,804026241225523202,15072,42109
531,803773340896923648,2591,9570
532,803692223237865472,6934,0
533,803638050916102144,3887,10392
534,803380650405482500,1770,7402
535,803321560782307329,4965,0
536,803276597545603072,2301,9565
537,802952499103731712,1875,8586
538,802624713319034886,2729,0
539,802600418706604034,1385,6773
540,802572683846291456,2361,8528
541,802323869084381190,5489,15357
542,802265048156610565,1299,6626
543,802239329049477120,2461,8658
544,802185808107208704,251,0
545,801958328846974976,1599,7367
546,801854953262350336,219,1726
547,801538201127157760,1954,7827
548,801285448605831168,773,5748
549,801167903437357056,5527,23201
550,801127390143516673,3704,0
551,801115127852503040,1986,7684
552,800859414831898624,91,647
553,800855607700029440,1520,0
554,800751577355128832,2639,10098
555,800513324630806528,2834,12511
556,800459316964663297,2063,9053
557,800443802682937345,4030,0
558,800388270626521089,2638,10631
559,800188575492947969,3697,0
560,800141422401830912,2398,14529
561,800018252395122689,12338,26939
562,799774291445383169,4376,0
563,799757965289017345,2005,7986
564,799422933579902976,1801,7694
565,799308762079035393,5095,0
566,799297110730567681,2569,9400
567,799063482566066176,2342,7700
568,798933969379225600,4163,12439
569,798925684722855936,1363,7164
570,798705661114773508,6226,0
571,798701998996647937,7258,0
572,798697898615730177,6104,0
573,798694562394996736,4646,0
574,798686750113755136,2181,0
575,798682547630837760,4438,0
576,798673117451325440,5229,0
577,798665375516884993,3679,0
578,798644042770751489,1747,0
579,798628517273620480,1867,0
580,798585098161549313,5279,0
581,798576900688019456,5492,0
582,798340744599797760,3144,0
583,798209839306514432,2425,9933
584,797971864723324932,2893,10970
585,797545162159308800,4625,13893
586,797236660651966464,6169,18955
587,797165961484890113,24,214
588,796904159865868288,8360,0
589,796865951799083009,1830,7322
590,796759840936919040,2840,11221
591,796563435802726400,6755,0
592,796484825502875648,1654,7195
593,796387464403357696,3895,10473
594,796177847564038144,13393,0
595,796149749086875649,13393,30560
596,796125600683540480,1686,4740
597,796116448414461957,2256,8652
598,796080075804475393,2172,8031
